campaign_id,campaign_name,channel,campaign_cost,impressions,clicks,conversions
1,Google Search Q1,Google Ads,50000,1000000,50000,5000
2,Google Search Q2,Google Ads,60000,1200000,60000,6000
3,Instagram Growth Q1,Instagram,40000,1500000,75000,7000
4,Instagram Growth Q2,Instagram,45000,1600000,80000,7500
5,Facebook Awareness Q1,Facebook,35000,1100000,40000,3500
6,YouTube Launch Campaign,YouTube,55000,1400000,65000,5500
7,Email Re-engagement,Email,10000,300000,20000,4000
8,Referral Program,Referral,25000,800000,50000,6000
9,Influencer Campaign,Influencer,30000,900000,45000,4500
10,Organic Growth,Organic,5000,2000000,100000,10000
